aedes_ID	anopheles_ID	orthotype	OMAgroup
AAEL006693	AGAP011895	1:1	679003
AAEL006690	AGAP011902	1:1	
AAEL006697	AGAP011906	1:1	
AAEL006688	AGAP011907	1:1	793617
AAEL006703	AGAP011908	1:1	610162
AAEL006700	AGAP011909	1:1	611187
AAEL006689	AGAP011910	1:1	574607
AAEL006696	AGAP011913	1:m	611559
AAEL006696	AGAP011914	1:m	
AAEL006692	AGAP011912	1:1	558800
AAEL006705	AGAP011911	1:1	789891
AAEL006710	AGAP002335	1:1	548636
AAEL006712	AGAP007855	n:1	548084
AAEL006715	AGAP003157	1:1	
AAEL006713	AGAP002956	1:1	547209
AAEL006707	AGAP002955	1:1	660382
AAEL006709	AGAP001413	1:1	339138
AAEL006708	AGAP001412	1:1	
AAEL006711	AGAP001411	1:1	838431
AAEL006739	AGAP006833	n:1	
AAEL006717	AGAP006364	1:1	546871
AAEL006748	AGAP006365	1:1	547856
AAEL006721	AGAP006366	1:1	864282
AAEL006737	AGAP006369	1:1	560435
AAEL006749	AGAP006370	1:1	
AAA29343.1	AAL68692.1	1:1	700908
AAEL006728	AGAP006238	1:1	547155
AAEL006726	AGAP006241	1:1	769175
AAEL006750	AGAP005407	1:1	338321
AAEL006724	AGAP006239	1:1	640936
AAEL006725	AGAP006240	1:1	851193
AAEL006744	AGAP005406	1:1	
AAEL006723	AGAP005408	1:1	742540
AAEL006755	AGAP005409	1:1	829911
AAEL006743	AGAP005410	1:1	856268
AAEL006738	AGAP005411	1:1	843241
AAEL006732	AGAP005412	1:1	
AAEL006752	AGAP005414	1:1	842526
AAEL006735	AGAP005413	1:1	794878
AAEL006747	AGAP005415	1:1	765448
AAEL006736	AGAP005417	1:1	753248
AAEL006727	AGAP005418	1:1	848583
AAEL006733	AAY34441.1	1:1	839843
AAEL006753	AGAP005420	n:1	793678
AAEL006734	AGAP005421	1:1	792592
AAEL006731	AGAP005422	1:1	699775
AAEL006718	AGAP006344	1:1	
AAEL006730	AGAP006340	1:1	
AAEL006778	AGAP010442	1:1	641165
AAEL006760	AGAP010444	1:1	555695
AAEL006779	AGAP010443	1:1	862206
AAEL006776	AGAP010445	1:1	268630
AAEL006769	AGAP011744	1:1	861587
AAEL006762	AGAP011740	1:1	780224
AAEL006763	AGAP011743	1:1	828777
AAEL006764	AAC79993.1	n:1	
AAEL006774	AGAP011736	1:1	556833
AAEL006771	AGAP011733	1:1	
AAEL006792	AGAP012282	1:1	730773
AAEL006785	AGAP012284	1:1	
AAEL006808	AGAP012287	1:1	777440
AAEL006801	AGAP012288	1:1	810053
AAEL006794	AGAP012289	1:1	848005
AAEL006815	AAV28177.1	n:1	
AAEL006784	AAV28177.1	n:1	
AAEL006793	AAV28177.1	n:1	
AAEL006798	AAV28177.1	n:1	
AAEL006804	AAV28177.1	n:1	
