ID	pvalue	algorithm
ENSMUSG00000051177	0.0399365685437103	empJTK
ENSMUSG00000051331	0.0331105351742179	empJTK
ENSMUSG00000052889	0.225622589301092	empJTK
ENSMUSG00000052920	0.225622589301092	empJTK
ENSMUSG00000053819	0.07897567894346	empJTK
ENSMUSG00000054764	0.0858016383453828	empJTK
ENSMUSG00000055866	0.07897567894346	empJTK
ENSMUSG00000057378	0.0191546850602118	empJTK
ENSMUSG00000057614	0.303782421184	empJTK
ENSMUSG00000057897	0.0669972937792729	empJTK
ENSMUSG00000059003	0.141596930345347	empJTK
ENSMUSG00000063065	0.150386151872671	empJTK
ENSMUSG00000063130	0.0669972937792729	empJTK
ENSMUSG00000063358	0.121420042841359	empJTK
ENSMUSG00000063594	0.120514780007809	empJTK
ENSMUSG00000068523	0.225622589301092	empJTK
ENSMUSG00000078816	0.0239731205881416	empJTK
ENSMUSG00000000001	0.281423326035395	meta2d
ENSMUSG00000001175	0.0792120181405897	meta2d
ENSMUSG00000001986	0.0547036749482403	meta2d
ENSMUSG00000002771	0.201510699216396	meta2d
ENSMUSG00000005034	0.0792120181405897	meta2d
ENSMUSG00000005469	0.0936217159277505	meta2d
ENSMUSG00000005580	0.138179563492064	meta2d
ENSMUSG00000015968	0.0792120181405897	meta2d
ENSMUSG00000019370	0.0936217159277505	meta2d
ENSMUSG00000020431	0.0936217159277505	meta2d
ENSMUSG00000020524	0.0792120181405897	meta2d
ENSMUSG00000020654	0.138179563492064	meta2d
ENSMUSG00000020734	0.201510699216396	meta2d
ENSMUSG00000020866	0.0936217159277505	meta2d
ENSMUSG00000020893	0.0936217159277505	meta2d
ENSMUSG00000021180	0.0171682098765432	meta2d
ENSMUSG00000021250	0.0936217159277505	meta2d
ENSMUSG00000021313	0.0171682098765432	meta2d
ENSMUSG00000021536	0.0936217159277505	meta2d
ENSMUSG00000021820	0.201510699216396	meta2d
ENSMUSG00000021933	0.0547036749482403	meta2d
ENSMUSG00000022220	0.0936217159277505	meta2d
ENSMUSG00000022376	0.0792120181405897	meta2d
